personality_traits,frequency,job_id
high-handed,0,1
hostile,1,1
ignorant,0,1
imitative,0,1
impatient,0,1
impractical,0,1
imprudent,0,1
impulsive,0,1
inconsiderate,0,1
incurious,0,1
indecisive,0,1
indulgent,0,1
inert,0,1
inhibited,0,1
insecure,0,1
insensitive,0,1
insincere,0,1
insulting,0,1
intolerant,0,1
irascible,0,1
irrational,0,1
irresponsible,0,1
irritable,0,1
lazy,0,1
libidinous,0,1
loquacious,0,1
malicious,0,1
mannered,0,1
mannerless,0,1
mawkish,0,1
mealymouthed,0,1
mechanical,0,1
meddlesome,0,1
melancholic,0,1
meretricious,0,1
messy,0,1
miserable,0,1
miserly,0,1
misguided,0,1
mistaken,0,1
money-minded,0,1
monstrous,0,1
moody,0,1
morbid,0,1
muddle-headed,0,1
naive,1,1
narcissistic,0,1
narrow,0,1
narrow-minded,0,1
natty,0,1
negativistic,0,1
neglectful,0,1
neurotic,0,1
nihilistic,0,1
obnoxious,0,1
obsessive,0,1
obvious,0,1
odd,0,1
offhand,0,1
one-dimensional,0,1
one-sided,0,1
opinionated,0,1
opportunistic,0,1
oppressed,0,1
outrageous,0,1
overimaginative,0,1
paranoid,0,1
passive,0,1
pedantic,0,1
perverse,0,1
petty,0,1
pharissical,0,1
phlegmatic,0,1
plodding,0,1
pompous,0,1
possessive,0,1
power-hungry,0,1
predatory,0,1
prejudiced,0,1
presumptuous,0,1
pretentious,0,1
prim,0,1
procrastinating,0,1
profligate,0,1
provocative,0,1
pugnacious,0,1
puritanical,0,1
quirky,1,1
reactionary,0,1
reactive,0,1
regimental,0,1
regretful,0,1
repentant,0,1
repressed,0,1
resentful,0,1
ridiculous,0,1
rigid,0,1
ritualistic,0,1
rowdy,0,1
ruined,0,1
sadistic,0,1
sanctimonious,0,1
scheming,0,1
scornful,0,1
secretive,0,1
sedentary,1,1
selfish,0,1
self-indulgent,0,1
shallow,0,1
shortsighted,0,1
shy,0,1
silly,0,1
single-minded,0,1
sloppy,0,1
slow,0,1
sly,0,1
small-thinking,0,1
softheaded,0,1
sordid,0,1
steely,0,1
stiff,0,1
strong-willed,0,1
stupid,0,1
submissive,0,1
superficial,0,1
superstitious,0,1
suspicious,3,1
tactless,0,1
tasteless,0,1
tense,0,1
thievish,0,1
thoughtless,0,1
timid,0,1
transparent,4,1
treacherous,0,1
trendy,0,1
troublesome,0,1
unappreciative,0,1
uncaring,0,1
uncharitable,0,1
unconvincing,0,1
uncooperative,0,1
uncreative,0,1
uncritical,0,1
unctuous,0,1
undisciplined,0,1
unfriendly,0,1
ungrateful,0,1
unhealthy,0,1
unimaginative,0,1
unimpressive,0,1
unlovable,0,1
unpolished,0,1
unprincipled,0,1
unrealistic,0,1
unreflective,0,1
unreliable,0,1
unrestrained,0,1
unself-critical,0,1
unstable,0,1
vacuous,0,1
vague,2,1
venal,0,1
venomous,0,1
vindictive,0,1
vulnerable,0,1
weak,0,1
weak-willed,0,1
well-meaning,0,1
willful,0,1
wishful,0,1
zany,0,1
absentminded,0,1
aggressive,0,1
ambitious,1,1
amusing,0,1
artful,0,1
ascetic,0,1
authoritarian,0,1
big-thinking,0,1
boyish,0,1
breezy,0,1
businesslike,0,1
busy,1,1
casual,2,1
crebral,0,1
chummy,0,1
circumspect,0,1
competitive,32,1
complex,39,1
confidential,9,1
conservative,0,1
contradictory,0,1
crisp,0,1
cute,0,1
deceptive,0,1
determined,8,1
dominating,0,1
dreamy,0,1
driving,11,1
droll,0,1
dry,0,1
earthy,0,1
effeminate,0,1
emotional,3,1
enigmatic,0,1
experimental,1,1
familial,0,1
folksy,0,1
formal,6,1
freewheeling,0,1
frugal,0,1
glamorous,0,1
guileless,0,1
high-spirited,0,1
huried,0,1
hypnotic,0,1
iconoclastic,0,1
idiosyncratic,0,1
impassive,0,1
impersonal,0,1
impressionable,0,1
intense,1,1
invisible,0,1
irreligious,0,1
irreverent,0,1
maternal,0,1
mellow,0,1
modern,1,1
moralistic,0,1
mystical,0,1
neutral,0,1
noncommittal,0,1
noncompetitive,0,1
obedient,0,1
old-fashined,0,1
ordinary,0,1
outspoken,0,1
paternalistic,0,1
physical,23,1
placid,0,1
political,1,1
predictable,0,1
preoccupied,0,1
private,5,1
progressive,3,1
proud,5,1
pure,0,1
questioning,0,1
quiet,0,1
religious,2,1
reserved,0,1
restrained,0,1
retiring,0,1
sarcastic,0,1
self-conscious,0,1
sensual,0,1
skeptical,0,1
smooth,1,1
soft,0,1
solemn,0,1
solitary,0,1
stern,0,1
stoiid,0,1
strict,1,1
stubborn,0,1
stylish,0,1
subjective,0,1
surprising,0,1
tough,0,1
unaggressive,0,1
unambitious,0,1
unceremonious,0,1
unchanging,0,1
undemanding,0,1
unfathomable,0,1
unhurried,0,1
uninhibited,0,1
unpatriotic,0,1
unpredicatable,0,1
unreligious,0,1
unsentimental,0,1
whimsical,0,1
accessible,2,1
active,35,1
adaptable,0,1
admirable,0,1
adventurous,0,1
agreeable,0,1
alert,3,1
allocentric,0,1
amiable,0,1
anticipative,0,1
appreciative,0,1
articulate,1,1
aspiring,0,1
athletic,0,1
attractive,3,1
balanced,0,1
benevolent,0,1
brilliant,1,1
calm,0,1
capable,1,1
captivating,0,1
caring,1,1
challenging,3,1
charismatic,0,1
charming,0,1
cheerful,0,1
clean,0,1
clear-headed,0,1
clever,0,1
colorful,0,1
companionly,0,1
compassionate,0,1
conciliatory,0,1
confident,2,1
conscientious,0,1
considerate,0,1
constant,1,1
contemplative,0,1
cooperative,0,1
courageous,0,1
courteous,1,1
creative,6,1
cultured,0,1
curious,0,1
daring,0,1
debonair,0,1
decent,0,1
decisive,1,1
dedicated,11,1
deep,6,1
dignified,0,1
directed,0,1
disciplined,0,1
discreet,0,1
dramatic,0,1
dutiful,0,1
dynamic,14,1
earnest,0,1
ebullient,0,1
educated,0,1
efficient,9,1
elegant,0,1
eloquent,0,1
empathetic,0,1
energetic,0,1
enthusiastic,1,1
esthetic,0,1
exciting,7,1
extraordinary,0,1
fair,12,1
faithful,0,1
farsighted,0,1
felicific,0,1
firm,16,1
flexible,21,1
focused,7,1
forecful,0,1
forgiving,0,1
forthright,0,1
freethinking,0,1
friendly,0,1
fun-loving,0,1
gallant,0,1
generous,9,1
gentle,0,1
genuine,2,1
good-natured,0,1
gracious,0,1
hardworking,0,1
healthy,0,1
hearty,0,1
helpful,2,1
herioc,0,1
high-minded,0,1
honest,2,1
honorable,6,1
humble,0,1
humorous,0,1
idealistic,0,1
imaginative,0,1
impressive,0,1
incisive,0,1
incorruptible,0,1
independent,5,1
individualistic,0,1
innovative,24,1
inoffensive,0,1
insightful,2,1
insouciant,0,1
intelligent,1,1
intuitive,1,1
invulnerable,0,1
kind,0,1
knowledge,104,1
leaderly,0,1
leisurely,0,1
liberal,0,1
logical,2,1
lovable,0,1
loyal,0,1
lyrical,0,1
magnanimous,0,1
many-sided,0,1
masculine,0,1
mature,0,1
methodical,1,1
maticulous,0,1
moderate,3,1
modest,0,1
multi-leveled,0,1
neat,0,1
nonauthoritarian,0,1
objective,0,1
observant,0,1
open,17,1
optimistic,0,1
orderly,0,1
organized,1,1
original,1,1
painstaking,0,1
passionate,12,1
patient,1,1
patriotic,0,1
peaceful,0,1
perceptive,0,1
perfectionist,0,1
personable,0,1
persuasive,1,1
planful,0,1
playful,0,1
polished,1,1
popular,2,1
practical,4,1
precise,1,1
principled,0,1
profound,0,1
protean,0,1
protective,0,1
providential,0,1
prudent,0,1
punctual,0,1
pruposeful,0,1
rational,0,1
realistic,0,1
reflective,0,1
relaxed,0,1
reliable,3,1
resourceful,0,1
respectful,0,1
responsible,25,1
responsive,2,1
reverential,0,1
romantic,0,1
rustic,0,1
sage,0,1
sane,0,1
scholarly,0,1
scrupulous,0,1
secure,8,1
selfless,0,1
self-critical,0,1
self-defacing,0,1
self-denying,0,1
self-reliant,0,1
self-sufficent,0,1
sensitive,10,1
sentimental,0,1
seraphic,0,1
serious,0,1
sexy,0,1
sharing,9,1
shrewd,0,1
simple,1,1
skillful,0,1
sober,0,1
sociable,0,1
solid,8,1
sophisticated,0,1
spontaneous,0,1
sporting,0,1
stable,1,1
steadfast,0,1
steady,0,1
stoic,0,1
strong,80,1
studious,0,1
suave,0,1
subtle,0,1
sweet,0,1
sympathetic,0,1
systematic,0,1
tasteful,0,1
teacherly,0,1
thorough,6,1
tidy,0,1
tolerant,0,1
tractable,0,1
trusting,0,1
uncomplaining,0,1
understanding,49,1
undogmatic,0,1
unfoolable,0,1
upright,0,1
urbane,0,1
venturesome,0,1
vivacious,0,1
warm,0,1
well-bred,0,1
well-read,0,1
well-rounded,2,1
winning,0,1
wise,0,1
witty,0,1
youthful,0,1
