personality_traits,frequency,job_id
high-handed,0,1
hostile,0,1
ignorant,0,1
imitative,0,1
impatient,0,1
impractical,0,1
imprudent,0,1
impulsive,0,1
inconsiderate,0,1
incurious,0,1
indecisive,0,1
indulgent,0,1
inert,0,1
inhibited,0,1
insecure,0,1
insensitive,0,1
insincere,0,1
insulting,0,1
intolerant,0,1
irascible,0,1
irrational,0,1
irresponsible,0,1
irritable,0,1
lazy,0,1
libidinous,0,1
loquacious,0,1
malicious,0,1
mannered,0,1
mannerless,0,1
mawkish,0,1
mealymouthed,0,1
mechanical,0,1
meddlesome,0,1
melancholic,0,1
meretricious,0,1
messy,0,1
miserable,0,1
miserly,0,1
misguided,0,1
mistaken,0,1
money-minded,0,1
monstrous,0,1
moody,0,1
morbid,0,1
muddle-headed,0,1
naive,0,1
narcissistic,0,1
narrow,0,1
narrow-minded,0,1
natty,0,1
negativistic,0,1
neglectful,0,1
neurotic,0,1
nihilistic,0,1
obnoxious,0,1
obsessive,0,1
obvious,0,1
odd,0,1
offhand,0,1
one-dimensional,0,1
one-sided,0,1
opinionated,0,1
opportunistic,0,1
oppressed,0,1
outrageous,0,1
overimaginative,0,1
paranoid,0,1
passive,0,1
pedantic,0,1
perverse,0,1
petty,0,1
pharissical,0,1
phlegmatic,0,1
plodding,0,1
pompous,0,1
possessive,0,1
power-hungry,0,1
predatory,0,1
prejudiced,0,1
presumptuous,0,1
pretentious,0,1
prim,0,1
procrastinating,0,1
profligate,0,1
provocative,0,1
pugnacious,0,1
puritanical,0,1
quirky,0,1
reactionary,0,1
reactive,1,1
regimental,0,1
regretful,0,1
repentant,0,1
repressed,0,1
resentful,0,1
ridiculous,0,1
rigid,0,1
ritualistic,0,1
rowdy,0,1
ruined,0,1
sadistic,0,1
sanctimonious,0,1
scheming,0,1
scornful,0,1
secretive,0,1
sedentary,0,1
selfish,0,1
self-indulgent,0,1
shallow,0,1
shortsighted,0,1
shy,0,1
silly,0,1
single-minded,0,1
sloppy,0,1
slow,0,1
sly,0,1
small-thinking,0,1
softheaded,0,1
sordid,0,1
steely,0,1
stiff,0,1
strong-willed,0,1
stupid,0,1
submissive,0,1
superficial,0,1
superstitious,0,1
suspicious,4,1
tactless,0,1
tasteless,0,1
tense,0,1
thievish,0,1
thoughtless,0,1
timid,0,1
transparent,0,1
treacherous,0,1
trendy,0,1
troublesome,0,1
unappreciative,0,1
uncaring,0,1
uncharitable,0,1
unconvincing,0,1
uncooperative,0,1
uncreative,0,1
uncritical,0,1
unctuous,0,1
undisciplined,0,1
unfriendly,0,1
ungrateful,0,1
unhealthy,0,1
unimaginative,0,1
unimpressive,0,1
unlovable,0,1
unpolished,0,1
unprincipled,0,1
unrealistic,0,1
unreflective,0,1
unreliable,0,1
unrestrained,0,1
unself-critical,0,1
unstable,0,1
vacuous,0,1
vague,0,1
venal,0,1
venomous,0,1
vindictive,0,1
vulnerable,1,1
weak,0,1
weak-willed,0,1
well-meaning,0,1
willful,0,1
wishful,0,1
zany,0,1
absentminded,0,1
aggressive,0,1
ambitious,2,1
amusing,0,1
artful,0,1
ascetic,0,1
authoritarian,0,1
big-thinking,0,1
boyish,0,1
breezy,0,1
businesslike,0,1
busy,0,1
casual,1,1
crebral,0,1
chummy,0,1
circumspect,0,1
competitive,24,1
complex,51,1
confidential,2,1
conservative,0,1
contradictory,0,1
crisp,0,1
cute,0,1
deceptive,0,1
determined,12,1
dominating,0,1
dreamy,0,1
driving,11,1
droll,0,1
dry,0,1
earthy,0,1
effeminate,0,1
emotional,0,1
enigmatic,0,1
experimental,0,1
familial,1,1
folksy,0,1
formal,2,1
freewheeling,0,1
frugal,0,1
glamorous,0,1
guileless,0,1
high-spirited,0,1
huried,0,1
hypnotic,0,1
iconoclastic,0,1
idiosyncratic,0,1
impassive,0,1
impersonal,0,1
impressionable,0,1
intense,0,1
invisible,0,1
irreligious,0,1
irreverent,0,1
maternal,0,1
mellow,0,1
modern,4,1
moralistic,0,1
mystical,0,1
neutral,0,1
noncommittal,0,1
noncompetitive,0,1
obedient,0,1
old-fashined,0,1
ordinary,0,1
outspoken,0,1
paternalistic,0,1
physical,24,1
placid,0,1
political,6,1
predictable,0,1
preoccupied,0,1
private,11,1
progressive,0,1
proud,6,1
pure,0,1
questioning,0,1
quiet,0,1
religious,2,1
reserved,0,1
restrained,0,1
retiring,0,1
sarcastic,0,1
self-conscious,0,1
sensual,0,1
skeptical,0,1
smooth,1,1
soft,0,1
solemn,0,1
solitary,0,1
stern,0,1
stoiid,0,1
strict,1,1
stubborn,0,1
stylish,0,1
subjective,0,1
surprising,0,1
tough,1,1
unaggressive,0,1
unambitious,0,1
unceremonious,0,1
unchanging,0,1
undemanding,0,1
unfathomable,0,1
unhurried,0,1
uninhibited,0,1
unpatriotic,0,1
unpredicatable,0,1
unreligious,0,1
unsentimental,0,1
whimsical,0,1
accessible,2,1
active,22,1
adaptable,1,1
admirable,0,1
adventurous,0,1
agreeable,0,1
alert,0,1
allocentric,0,1
amiable,0,1
anticipative,0,1
appreciative,0,1
articulate,2,1
aspiring,0,1
athletic,0,1
attractive,0,1
balanced,5,1
benevolent,0,1
brilliant,0,1
calm,0,1
capable,1,1
captivating,0,1
caring,1,1
challenging,4,1
charismatic,0,1
charming,0,1
cheerful,0,1
clean,0,1
clear-headed,0,1
clever,0,1
colorful,0,1
companionly,0,1
compassionate,0,1
conciliatory,0,1
confident,0,1
conscientious,0,1
considerate,0,1
constant,0,1
contemplative,0,1
cooperative,1,1
courageous,0,1
courteous,0,1
creative,13,1
cultured,0,1
curious,0,1
daring,0,1
debonair,0,1
decent,0,1
decisive,0,1
dedicated,11,1
deep,5,1
dignified,0,1
directed,1,1
disciplined,0,1
discreet,0,1
dramatic,0,1
dutiful,0,1
dynamic,8,1
earnest,0,1
ebullient,0,1
educated,1,1
efficient,6,1
elegant,0,1
eloquent,0,1
empathetic,0,1
energetic,0,1
enthusiastic,2,1
esthetic,0,1
exciting,5,1
extraordinary,0,1
fair,5,1
faithful,0,1
farsighted,0,1
felicific,0,1
firm,18,1
flexible,22,1
focused,13,1
forecful,0,1
forgiving,0,1
forthright,0,1
freethinking,0,1
friendly,3,1
fun-loving,0,1
gallant,0,1
generous,9,1
gentle,0,1
genuine,0,1
good-natured,0,1
gracious,0,1
hardworking,1,1
healthy,0,1
hearty,0,1
helpful,1,1
herioc,0,1
high-minded,0,1
honest,1,1
honorable,0,1
humble,0,1
humorous,0,1
idealistic,0,1
imaginative,0,1
impressive,0,1
incisive,0,1
incorruptible,0,1
independent,3,1
individualistic,0,1
innovative,20,1
inoffensive,0,1
insightful,0,1
insouciant,0,1
intelligent,1,1
intuitive,0,1
invulnerable,0,1
kind,5,1
knowledge,116,1
leaderly,0,1
leisurely,0,1
liberal,0,1
logical,3,1
lovable,0,1
loyal,0,1
lyrical,0,1
magnanimous,0,1
many-sided,0,1
masculine,0,1
mature,1,1
methodical,0,1
maticulous,0,1
moderate,5,1
modest,0,1
multi-leveled,0,1
neat,1,1
nonauthoritarian,0,1
objective,6,1
observant,0,1
open,5,1
optimistic,0,1
orderly,1,1
organized,5,1
original,0,1
painstaking,0,1
passionate,5,1
patient,0,1
patriotic,0,1
peaceful,0,1
perceptive,0,1
perfectionist,0,1
personable,0,1
persuasive,0,1
planful,0,1
playful,0,1
polished,0,1
popular,0,1
practical,3,1
precise,0,1
principled,0,1
profound,0,1
protean,0,1
protective,2,1
providential,0,1
prudent,0,1
punctual,0,1
pruposeful,0,1
rational,0,1
realistic,0,1
reflective,0,1
relaxed,0,1
reliable,2,1
resourceful,0,1
respectful,0,1
responsible,50,1
responsive,1,1
reverential,0,1
romantic,0,1
rustic,0,1
sage,0,1
sane,0,1
scholarly,0,1
scrupulous,0,1
secure,3,1
selfless,0,1
self-critical,0,1
self-defacing,0,1
self-denying,0,1
self-reliant,0,1
self-sufficent,0,1
sensitive,4,1
sentimental,0,1
seraphic,0,1
serious,2,1
sexy,0,1
sharing,3,1
shrewd,0,1
simple,1,1
skillful,0,1
sober,0,1
sociable,0,1
solid,5,1
sophisticated,0,1
spontaneous,0,1
sporting,0,1
stable,1,1
steadfast,0,1
steady,0,1
stoic,0,1
strong,76,1
studious,0,1
suave,0,1
subtle,0,1
sweet,0,1
sympathetic,0,1
systematic,1,1
tasteful,0,1
teacherly,0,1
thorough,7,1
tidy,0,1
tolerant,0,1
tractable,0,1
trusting,0,1
uncomplaining,0,1
understanding,34,1
undogmatic,0,1
unfoolable,0,1
upright,0,1
urbane,0,1
venturesome,0,1
vivacious,0,1
warm,0,1
well-bred,0,1
well-read,0,1
well-rounded,0,1
winning,2,1
wise,0,1
witty,0,1
youthful,0,1
