personality_traits,frequency,job_id
hardworking,1,0
healthy,0,0
hearty,0,0
helpful,1,0
herioc,0,0
high-minded,0,0
honest,1,0
honorable,0,0
humble,0,0
humorous,0,0
idealistic,0,0
imaginative,0,0
impressive,0,0
incisive,0,0
incorruptible,0,0
independent,3,0
individualistic,0,0
innovative,20,0
inoffensive,0,0
insightful,0,0
insouciant,0,0
intelligent,1,0
intuitive,0,0
invulnerable,0,0
kind,5,0
knowledge,116,0
leaderly,0,0
leisurely,0,0
liberal,0,0
logical,3,0
lovable,0,0
loyal,0,0
lyrical,0,0
magnanimous,0,0
many-sided,0,0
masculine,0,0
mature,1,0
methodical,0,0
maticulous,0,0
moderate,5,0
modest,0,0
multi-leveled,0,0
neat,1,0
nonauthoritarian,0,0
objective,6,0
observant,0,0
open,5,0
optimistic,0,0
orderly,1,0
organized,5,0
original,0,0
painstaking,0,0
passionate,5,0
patient,0,0
patriotic,0,0
peaceful,0,0
perceptive,0,0
perfectionist,0,0
personable,0,0
persuasive,0,0
planful,0,0
playful,0,0
polished,0,0
popular,0,0
practical,3,0
precise,0,0
principled,0,0
profound,0,0
protean,0,0
protective,2,0
providential,0,0
prudent,0,0
punctual,0,0
pruposeful,0,0
rational,0,0
realistic,0,0
reflective,0,0
relaxed,0,0
reliable,2,0
resourceful,0,0
respectful,0,0
responsible,50,0
responsive,1,0
reverential,0,0
romantic,0,0
rustic,0,0
sage,0,0
sane,0,0
scholarly,0,0
scrupulous,0,0
secure,3,0
selfless,0,0
self-critical,0,0
self-defacing,0,0
self-denying,0,0
self-reliant,0,0
self-sufficent,0,0
sensitive,4,0
sentimental,0,0
seraphic,0,0
serious,2,0
sexy,0,0
sharing,3,0
shrewd,0,0
simple,1,0
skillful,0,0
sober,0,0
sociable,0,0
solid,5,0
sophisticated,0,0
spontaneous,0,0
sporting,0,0
stable,1,0
steadfast,0,0
steady,0,0
stoic,0,0
strong,76,0
studious,0,0
suave,0,0
subtle,0,0
sweet,0,0
sympathetic,0,0
systematic,1,0
tasteful,0,0
teacherly,0,0
thorough,7,0
tidy,0,0
tolerant,0,0
tractable,0,0
trusting,0,0
uncomplaining,0,0
understanding,34,0
undogmatic,0,0
unfoolable,0,0
upright,0,0
urbane,0,0
venturesome,0,0
vivacious,0,0
warm,0,0
well-bred,0,0
well-read,0,0
well-rounded,0,0
winning,2,0
wise,0,0
witty,0,0
youthful,0,0
